FastCbench started.
Measure Mode: wall_time
Thread ID: 9861500
Fiber ID: 12739220
Total: 135.353378
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.06      0.080     0.080     0.000     0.000      724   IO#set_encoding
  0.03      0.046     0.046     0.000     0.000       95   <Class::Dir>#[]
  0.02      0.029     0.029     0.000     0.000      426   Module#name
  0.02      0.155     0.021     0.000     0.134     7102  *Array#each
  0.02      0.028     0.021     0.000     0.007      928   BinData::DSLMixin::DSLFieldValidator#malformed_name?
  0.01      0.018     0.018     0.000     0.000    10623   Kernel#nil?
  0.01      0.304     0.016     0.000     0.288     7701  *Class#new
  0.01      0.107     0.016     0.000     0.091     1299  *BinData::SanitizedParameters#initialize
  0.01      0.015     0.015     0.000     0.000    10387   Symbol#to_sym
  0.01      0.013     0.012     0.000     0.001      606   Module#define_method
  0.01      0.012     0.012     0.000     0.000     3854   Symbol#to_s
  0.01      1.175     0.011     0.001     1.163      735  *Kernel#require
  0.01      0.057     0.011     0.000     0.046     1088  *BinData::DSLMixin::DSLFieldParser#initialize
  0.01      0.010     0.010     0.000     0.000     2196   Gem::Dependency#requirement
  0.01      0.020     0.010     0.000     0.010      798   Gem::Requirement#as_list
  0.01      0.010     0.009     0.000     0.000     2822   String#gsub
  0.01      0.016     0.009     0.000     0.007     3568  *BinData::DSLMixin::DSLParser#endian
  0.01      0.154     0.009     0.000     0.145      266  *Module#module_eval
  0.01      0.008     0.008     0.000     0.000      379   Module#class_variable_set
  0.01      0.008     0.008     0.000     0.000     5149   Array#at
  0.01      0.037     0.008     0.000     0.030     1366   BinData::Registry#underscore_name
  0.01      0.007     0.007     0.000     0.000     1366   String#tr
  0.01      0.007     0.007     0.000     0.000     1189   Array#shift
  0.00      0.010     0.007     0.000     0.004     2773  *Hash#each
  0.00      0.015     0.006     0.000     0.009     2820  *Kernel#dup
  0.00      0.006     0.006     0.000     0.000     1484   String#sub
  0.00      0.006     0.006     0.000     0.000     5387   BinData::DSLMixin::DSLParser#parser_abilities
  0.00      0.006     0.006     0.000     0.000     2548   Regexp#=~
  0.00      0.014     0.005     0.000     0.008      582  *Enumerable#find
  0.00      0.005     0.005     0.000     0.000     2517   Hash#[]=
  0.00      0.057     0.005     0.000     0.052     1558   Array#map
